id,popularity,artist_total_followers
1PMOOPtmiOf4TQqEixoagE,27,8094
2zv25U5N7QyNcn8I9kzZVn,43,34943
3pj8yUKN5sRyQS1xkRCTFi,40,34472
0TxrCT0QkO6xa1VAhb5AJI,7,752
2EfFOe92ZZHE2lpappD8js,37,59729
7LMlaqzutxVEEEung8DPbE,33,19489
7MxZ0IsJqC4T5mYCpOjgxh,1,251
5x3mrCTZmkoTXURN7pWdGN,60,376413
4SCnzlzKa9mZ6VrfQMKuJD,15,269
5epzSn98pqluCq6hyGu3ux,44,68360
5CoXKGQeOWgWi8koTZh07b,39,59348
2Ca9cvPGdpZJs3OadQMqvJ,0,79
05kWC05qQmocVoC5Udgl6D,37,31523
688Lauh0j7oRekX6qHHIp1,25,52878
6ft7JnxMyZhp7N52qzHymY,62,181012
3V2fVXK9uADGxDlf4zTXB4,28,2043
6jUY2ZcA2oJz24SWcvefqk,30,1957
1QH7G1DjLYaY5EvqO1PA6w,19,589
37PhbUQE6PD7dg6wnHqFth,27,3910
5Pb27ujIyYb33zBqVysBkj,70,1078543
6gMyLqdBGrHjR8TdCutVIP,46,7962
0Wwji82sLA0Hcvtuak3omb,52,165422
0jzaoSt5gOC04OWBqN78VS,43,37878
4JNfz6aO9ZFz0gp5GY88am,56,972990
5XWrDs9DhuuC96bXWAS6cj,36,8404
5hHcAWKNV84BEbkRnbQ6A7,56,418552
6kFay2DQ5aZfeu5OsrF3Pw,46,175192
6kFay2DQ5aZfeu5OsrF3Pw,46,175192
4mrnmZpcJIxTjkOU2Ky8oe,0,110
4kUHhXm6tx1lMi1RdqDQgu,16,551
0YMeriqrS3zgsX24nfY0F0,60,842771
1jmDf2swGkKqy51iCSjzIq,4,495
3HI3cIsTS3ovWHtzD7SbpF,31,10155
1xv8LIJ3qAL2EioqhUjqtY,18,5864
39NVf42E16qKAey9LZsgeP,16,2135
34qyuX5yO72yzL8Z4JclBc,43,10676
5p2gVFoALyOtm13Fv5TjgQ,37,23410
1G0YV9WooUBjrwDq0Q7EFK,57,358099
2OmXXhGzt7kYHd9zbYmmVn,3,245
5ECIYzcG6bzu4rM0cFUtLA,6,281
